house_id,mainframe_zone,spawnpoint,hh_weight,state_of_decay,in_dystopia,homies_living_inside,age_of_eldest_goblin,monthly_grind_income,foodie_expenses,rent_for_box,plastic_flex
HH1069,midtown_sadness,4819,1.12,Biharify,True,7,52,9900.0,3130.0,8100.0,False
HH1070,no_scope_city,2914,2.99,karNAHtaka,True,4,46,4200.0,2050.0,2200.0,False
HH1071,delulu_hub,3474,2.4,Moodhya Pradesh,False,3,59,15100.0,4780.0,900.0,False
HH1072,delulu_hub,1352,1.88,Uttar Downbad,False,1,35,8000.0,4410.0,2000.0,False
HH1073,no_scope_city,7096,1.91,karNAHtaka,False,5,29,14700.0,6670.0,400.0,False
HH1074,no_scope_city,4773,2.15,karNAHtaka,False,8,48,22300.0,10220.0,1800.0,False
HH1075,no_scope_city,4630,3.32,Moodhya Pradesh,True,3,75,18900.0,8850.0,10300.0,False
HH1076,no_scope_city,6981,2.89,JhorrorKhand,False,1,23,6900.0,2420.0,1700.0,False
HH1077,delulu_hub,7049,2.34,Moodhya Pradesh,True,1,38,8700.0,3130.0,8800.0,False
HH1078,rizz_rural,9621,0.8,Biharify,True,2,58,13100.0,5180.0,800.0,False
HH1079,delulu_hub,6341,0.81,Moodhya Pradesh,True,6,35,17700.0,8460.0,9000.0,False
HH1080,midtown_sadness,8117,0.51,Moodhya Pradesh,True,3,46,12700.0,4610.0,3800.0,False
HH1081,feral_block,7041,4.37,Uttar Downbad,True,5,51,26800.0,8980.0,7800.0,False
HH1082,rizz_rural,9650,0.52,Moodhya Pradesh,False,3,50,14600.0,8630.0,800.0,False
HH1083,delulu_hub,7102,0.91,maharizztra,True,3,41,17200.0,5270.0,9500.0,False
HH1084,rizz_rural,1431,1.76,karNAHtaka,True,5,42,15300.0,8270.0,10700.0,False
HH1085,rizz_rural,4361,3.73,maharizztra,True,2,74,5400.0,2900.0,10400.0,False
HH1086,no_scope_city,7748,4.35,Uttar Downbad,False,4,43,8900.0,3460.0,100.0,False
HH1087,feral_block,9650,3.66,Kerela.ai,True,3,56,5800.0,1980.0,8800.0,False
HH1088,midtown_sadness,5215,3.26,JhorrorKhand,False,8,58,25200.0,8660.0,1300.0,False
HH1089,coastal_L,4737,2.59,maharizztra,True,3,37,4800.0,2440.0,4900.0,False
HH1090,delulu_hub,4954,0.85,Uttar Downbad,False,7,71,14400.0,7100.0,1900.0,False
HH1091,no_scope_city,3277,4.33,Biharify,True,2,70,8200.0,4390.0,5800.0,False
HH1092,no_scope_city,7830,3.53,Kerela.ai,False,8,64,14100.0,8200.0,1000.0,False
HH1093,feral_block,2280,3.06,Uttar Downbad,False,8,38,14500.0,7360.0,500.0,False
HH1094,no_scope_city,4992,3.54,Uttar Downbad,True,4,37,28500.0,9880.0,8700.0,True
HH1095,coastal_L,7143,3.4,JhorrorKhand,True,5,23,6100.0,2280.0,9300.0,False
HH1096,coastal_L,237,3.05,karNAHtaka,True,3,25,23000.0,12710.0,4100.0,False
HH1097,coastal_L,6427,4.42,maharizztra,True,6,42,13000.0,4720.0,7900.0,False
HH1098,delulu_hub,3572,4.11,Biharify,True,4,60,19200.0,6180.0,7800.0,False
HH1099,delulu_hub,5549,3.09,Panic Nadu,False,2,55,10900.0,5570.0,1400.0,False
HH1100,delulu_hub,2932,3.27,maharizztra,True,5,51,8100.0,3410.0,6500.0,False
HH1101,feral_block,3679,0.71,Panic Nadu,True,5,27,26300.0,15150.0,2500.0,False
HH1102,rizz_rural,6071,3.18,Uttar Downbad,True,5,38,24100.0,11930.0,6000.0,False
HH1103,coastal_L,4264,0.68,Moodhya Pradesh,True,3,60,6300.0,2060.0,9900.0,False
HH1104,midtown_sadness,8041,2.85,Biharify,False,4,46,16800.0,9820.0,1800.0,False
HH1105,rizz_rural,5669,4.5,Kerela.ai,True,2,26,7100.0,2680.0,12700.0,False
HH1106,coastal_L,4400,2.72,Moodhya Pradesh,False,4,26,5900.0,2370.0,2000.0,False
HH1107,no_scope_city,6369,2.39,Moodhya Pradesh,False,6,41,10200.0,4290.0,900.0,False
HH1108,rizz_rural,3918,1.75,maharizztra,False,4,37,24500.0,7730.0,1700.0,False
HH1109,delulu_hub,2006,0.98,Biharify,False,3,72,18500.0,8310.0,700.0,False
HH1110,rizz_rural,6354,3.42,karNAHtaka,True,3,62,9600.0,3240.0,11100.0,False
HH1111,delulu_hub,860,1.27,Uttar Downbad,False,4,58,24500.0,10300.0,1500.0,False
HH1112,midtown_sadness,7930,0.96,Uttar Downbad,True,9,61,27100.0,10980.0,5600.0,False
HH1113,no_scope_city,7450,2.19,Uttar Downbad,True,5,30,9300.0,4950.0,9000.0,False
HH1114,feral_block,6338,3.68,Uttar Downbad,False,3,26,26900.0,14550.0,100.0,False
HH1115,midtown_sadness,6190,3.48,maharizztra,False,7,63,13200.0,4570.0,1400.0,False
HH1116,no_scope_city,6131,0.72,Panic Nadu,False,7,23,13900.0,5700.0,800.0,False
HH1117,delulu_hub,7787,2.32,Uttar Downbad,True,6,30,7100.0,2930.0,6800.0,False
HH1118,midtown_sadness,9191,2.59,Panic Nadu,True,3,64,8000.0,2760.0,10400.0,False
HH1119,coastal_L,8572,3.08,Panic Nadu,False,3,57,10500.0,5670.0,1000.0,False
HH1120,no_scope_city,1987,3.1,karNAHtaka,True,7,43,17500.0,8960.0,4900.0,False
HH1121,midtown_sadness,3366,1.96,Uttar Downbad,False,5,43,8100.0,2890.0,3000.0,False
HH1122,rizz_rural,766,2.74,JhorrorKhand,False,6,43,10400.0,4260.0,700.0,False
HH1123,delulu_hub,4288,2.42,Kerela.ai,True,4,55,28200.0,9360.0,10700.0,False
HH1124,rizz_rural,771,4.04,Moodhya Pradesh,True,5,50,22300.0,10890.0,6400.0,False
HH1125,coastal_L,6877,2.62,Panic Nadu,True,1,59,20500.0,6900.0,4000.0,False
HH1126,no_scope_city,7670,2.26,Biharify,True,1,67,9000.0,5360.0,4100.0,False
HH1127,midtown_sadness,8056,2.12,Biharify,False,9,54,19700.0,10520.0,2000.0,False
HH1128,delulu_hub,5224,2.79,Kerela.ai,True,6,39,19000.0,7920.0,6100.0,False
HH1129,coastal_L,5685,3.72,Biharify,False,6,28,30000.0,14210.0,100.0,True
HH1130,coastal_L,4877,2.65,JhorrorKhand,True,4,22,5900.0,3380.0,5000.0,False
HH1131,rizz_rural,4000,3.15,Biharify,False,3,54,8400.0,3920.0,2000.0,False
HH1132,delulu_hub,6777,3.45,Moodhya Pradesh,True,6,22,16000.0,5640.0,6100.0,False
HH1133,rizz_rural,7081,2.58,Moodhya Pradesh,True,2,45,10900.0,4510.0,4800.0,False
HH1134,midtown_sadness,6476,2.21,Panic Nadu,True,2,25,6400.0,3540.0,6000.0,False
HH1135,rizz_rural,623,4.01,Uttar Downbad,False,9,25,21200.0,10460.0,200.0,False
HH1136,coastal_L,2493,2.17,karNAHtaka,False,5,39,10600.0,5250.0,1200.0,False
HH1137,no_scope_city,2693,2.35,JhorrorKhand,False,4,48,12400.0,6940.0,1500.0,False
HH1138,rizz_rural,7340,4.46,Panic Nadu,True,3,64,14800.0,8410.0,3400.0,False
HH1139,midtown_sadness,7037,0.5,JhorrorKhand,True,8,53,13800.0,7950.0,10000.0,False
HH1140,midtown_sadness,6290,1.24,Uttar Downbad,True,2,54,16600.0,5450.0,4300.0,False
HH1141,rizz_rural,5340,2.04,maharizztra,True,5,49,21500.0,9960.0,7800.0,False
HH1142,coastal_L,6593,4.23,Biharify,True,4,63,8500.0,4440.0,6900.0,False
HH1143,rizz_rural,2978,0.78,Biharify,False,3,62,8600.0,4530.0,800.0,False
HH1144,rizz_rural,4243,0.54,karNAHtaka,False,5,57,8500.0,4100.0,2800.0,False
HH1145,delulu_hub,3744,0.71,Uttar Downbad,False,2,27,10300.0,3610.0,800.0,False
HH1146,feral_block,4532,0.85,Panic Nadu,False,2,37,12500.0,6740.0,0.0,False
HH1147,coastal_L,1376,0.65,karNAHtaka,True,3,55,9300.0,4800.0,10400.0,False
HH1148,delulu_hub,5911,2.42,Uttar Downbad,True,8,44,18300.0,5960.0,4300.0,False
HH1149,rizz_rural,402,2.82,Kerela.ai,True,2,71,7500.0,3290.0,8200.0,False
HH1150,midtown_sadness,738,1.59,Moodhya Pradesh,False,5,63,10600.0,3730.0,500.0,False
HH1151,rizz_rural,155,2.09,karNAHtaka,True,3,45,13900.0,5580.0,10800.0,False
HH1152,delulu_hub,8817,0.87,karNAHtaka,True,4,70,9900.0,3020.0,7600.0,False
HH1153,coastal_L,8250,1.85,Panic Nadu,True,4,34,11900.0,5000.0,4500.0,False
HH1154,midtown_sadness,2225,2.59,JhorrorKhand,True,5,39,16200.0,7530.0,2200.0,False
HH1155,rizz_rural,464,3.43,Kerela.ai,False,1,75,11200.0,5440.0,1400.0,False
HH1156,feral_block,6909,0.51,Panic Nadu,False,2,34,7500.0,3740.0,1700.0,False
HH1157,no_scope_city,4721,2.37,Uttar Downbad,True,2,70,19600.0,10800.0,5100.0,False
HH1158,rizz_rural,5226,1.69,Uttar Downbad,False,1,58,13600.0,4960.0,800.0,False
HH1159,no_scope_city,5222,3.91,Uttar Downbad,False,3,64,13000.0,4370.0,1800.0,False
HH1160,rizz_rural,1746,3.36,maharizztra,True,6,60,9100.0,5050.0,7100.0,False
HH1161,feral_block,1018,2.86,Uttar Downbad,True,2,63,11100.0,3850.0,6300.0,False
HH1162,feral_block,2897,1.61,JhorrorKhand,True,5,38,9900.0,5870.0,6000.0,False
HH1163,coastal_L,6606,4.14,Kerela.ai,True,6,36,17900.0,9890.0,0.0,False
HH1164,delulu_hub,5970,0.68,Biharify,False,5,39,5200.0,2340.0,2900.0,False
HH1165,no_scope_city,1631,0.94,Moodhya Pradesh,True,7,44,13800.0,8200.0,8900.0,False
HH1166,rizz_rural,8272,2.07,JhorrorKhand,False,6,75,11300.0,3720.0,500.0,False
HH1167,delulu_hub,3445,1.0,JhorrorKhand,True,1,72,15600.0,6100.0,1500.0,False
HH1168,delulu_hub,7773,4.33,maharizztra,True,4,51,5200.0,2560.0,4600.0,False
HH1169,feral_block,7049,3.69,Biharify,True,4,55,12600.0,5100.0,10200.0,False
HH1170,feral_block,6982,1.54,Biharify,True,2,25,14500.0,8390.0,4800.0,False
HH1171,delulu_hub,2006,2.85,Moodhya Pradesh,True,5,24,32000.0,10230.0,6700.0,True
HH1172,coastal_L,3186,4.43,Moodhya Pradesh,False,7,28,12600.0,5860.0,1700.0,False
HH1173,rizz_rural,8252,4.04,Biharify,True,5,39,15600.0,7450.0,5900.0,False
HH1174,feral_block,5850,2.9,Uttar Downbad,False,3,63,4300.0,2130.0,1100.0,False
HH1175,delulu_hub,9005,4.11,JhorrorKhand,True,3,28,11300.0,4260.0,6500.0,False
HH1176,feral_block,1162,4.46,Panic Nadu,True,5,61,23500.0,9620.0,12600.0,False
HH1177,rizz_rural,2076,3.47,Moodhya Pradesh,True,4,27,31200.0,17260.0,8300.0,True
HH1178,midtown_sadness,1396,0.76,maharizztra,True,4,43,15300.0,5480.0,7100.0,False
HH1179,delulu_hub,6329,2.11,maharizztra,True,5,22,6800.0,3730.0,5400.0,False
HH1180,rizz_rural,7741,3.85,Moodhya Pradesh,True,1,25,21500.0,10080.0,8600.0,False
HH1181,delulu_hub,225,1.42,Biharify,True,2,67,3800.0,2010.0,9000.0,False
HH1182,midtown_sadness,4732,3.82,Kerela.ai,True,3,70,5800.0,2980.0,3800.0,False
HH1183,midtown_sadness,6388,0.98,Panic Nadu,True,3,73,24700.0,8950.0,9100.0,False
HH1184,rizz_rural,3696,0.69,Panic Nadu,True,7,71,14800.0,6970.0,6500.0,False
HH1185,feral_block,6268,2.04,Moodhya Pradesh,False,5,64,10100.0,5660.0,2300.0,False
HH1186,no_scope_city,9895,0.65,Uttar Downbad,False,6,50,19700.0,8460.0,1100.0,False
HH1187,feral_block,7661,4.33,Kerela.ai,True,5,42,14400.0,8500.0,5800.0,False
HH1188,coastal_L,8358,3.8,Panic Nadu,True,4,47,21400.0,9320.0,3900.0,False
HH1189,rizz_rural,332,3.7,Moodhya Pradesh,False,1,35,10800.0,3700.0,3200.0,False
HH1190,delulu_hub,9461,3.02,maharizztra,False,3,30,12900.0,5380.0,1500.0,False
HH1191,midtown_sadness,6471,1.37,Panic Nadu,True,4,68,21000.0,12300.0,5900.0,False
HH1192,midtown_sadness,4306,2.57,karNAHtaka,False,5,33,12800.0,5070.0,1000.0,False
HH1193,feral_block,9785,2.89,Kerela.ai,True,5,63,8800.0,4930.0,13500.0,False
HH1194,rizz_rural,8043,2.6,Kerela.ai,True,6,72,20300.0,11460.0,3600.0,False
HH1195,rizz_rural,6991,1.54,karNAHtaka,False,7,72,13600.0,5510.0,0.0,False
HH1196,no_scope_city,6838,2.56,JhorrorKhand,True,5,27,15400.0,5000.0,2600.0,False
HH1197,midtown_sadness,2572,2.46,maharizztra,False,3,41,3900.0,2020.0,900.0,False
HH1198,midtown_sadness,2839,4.49,karNAHtaka,False,3,45,10500.0,4130.0,2900.0,False
HH1199,no_scope_city,5501,4.09,Biharify,True,4,48,9400.0,5030.0,5100.0,False
HH1200,feral_block,1861,2.35,Biharify,True,6,59,6900.0,2990.0,7600.0,False
HH1201,delulu_hub,976,2.99,Moodhya Pradesh,True,5,29,12700.0,5660.0,7200.0,False
HH1202,delulu_hub,3912,3.49,Kerela.ai,True,7,22,14900.0,7950.0,4600.0,False
HH1203,midtown_sadness,9604,0.64,JhorrorKhand,False,3,75,13900.0,5760.0,200.0,False
HH1204,feral_block,1560,4.08,JhorrorKhand,True,6,70,24300.0,10520.0,2300.0,False
HH1205,delulu_hub,1833,3.94,Panic Nadu,True,1,70,17300.0,7140.0,7900.0,False
HH1206,delulu_hub,1705,2.33,Panic Nadu,False,4,45,9700.0,3980.0,1700.0,False
HH1207,feral_block,5722,2.06,karNAHtaka,True,6,68,15600.0,7140.0,7000.0,False
HH1208,delulu_hub,6867,1.59,JhorrorKhand,False,5,28,17100.0,9280.0,1900.0,False
HH1209,delulu_hub,7086,2.41,karNAHtaka,True,3,40,8900.0,3640.0,7600.0,False
HH1210,coastal_L,3617,0.68,maharizztra,False,2,43,4000.0,1830.0,3100.0,False
HH1211,feral_block,3835,3.91,karNAHtaka,True,5,56,12100.0,6060.0,9700.0,False
HH1212,feral_block,9452,0.64,Panic Nadu,True,6,51,24800.0,9440.0,5800.0,False
HH1213,rizz_rural,8534,1.82,Kerela.ai,True,2,50,3900.0,1490.0,3000.0,False
HH1214,no_scope_city,2690,4.23,karNAHtaka,True,7,43,10500.0,6090.0,6100.0,False
HH1215,rizz_rural,1163,3.44,Uttar Downbad,False,10,32,14200.0,7340.0,2300.0,False
HH1216,rizz_rural,4424,1.63,Kerela.ai,False,8,41,11500.0,5440.0,200.0,False
HH1217,no_scope_city,9211,1.51,JhorrorKhand,False,5,50,18700.0,9240.0,1700.0,False
HH1218,feral_block,5442,0.52,JhorrorKhand,True,1,72,5900.0,1820.0,4700.0,False
HH1219,no_scope_city,105,3.28,karNAHtaka,True,2,62,16000.0,7770.0,5100.0,False
HH1220,feral_block,7589,0.7,Kerela.ai,True,2,63,10600.0,4800.0,3900.0,False
HH1221,feral_block,8759,2.63,Panic Nadu,True,6,55,7400.0,3430.0,9100.0,False
HH1222,delulu_hub,8295,4.35,Panic Nadu,False,4,22,10000.0,4080.0,1000.0,False
HH1223,rizz_rural,6066,0.94,Biharify,True,3,52,19700.0,6390.0,4100.0,False
HH1224,rizz_rural,8937,4.08,JhorrorKhand,True,3,51,12400.0,4440.0,5800.0,False
HH1225,rizz_rural,217,4.47,Moodhya Pradesh,True,7,69,13300.0,7780.0,0.0,False
HH1226,midtown_sadness,2651,0.75,Biharify,False,1,39,20000.0,8450.0,1700.0,False
HH1227,rizz_rural,5660,4.03,Panic Nadu,False,5,38,8100.0,3560.0,800.0,False
HH1228,midtown_sadness,4389,2.56,Kerela.ai,False,1,59,6000.0,1890.0,2600.0,False
HH1229,feral_block,946,4.13,maharizztra,True,4,35,19600.0,6100.0,2600.0,False
HH1230,no_scope_city,6416,2.79,Panic Nadu,True,2,44,15600.0,8040.0,5700.0,False
HH1231,coastal_L,6569,3.15,Kerela.ai,False,7,46,9900.0,4570.0,3200.0,False
HH1232,feral_block,9433,2.68,Biharify,False,4,36,15800.0,7150.0,2100.0,False
HH1233,coastal_L,9015,3.96,JhorrorKhand,True,6,67,10800.0,4030.0,8300.0,False
HH1234,delulu_hub,324,3.44,Panic Nadu,False,6,43,6800.0,3560.0,1300.0,False
HH1235,no_scope_city,4308,2.59,karNAHtaka,False,5,24,11400.0,4000.0,1300.0,False
HH1236,rizz_rural,6383,3.97,Kerela.ai,False,5,40,33300.0,11890.0,1200.0,True
HH1237,delulu_hub,2148,1.48,JhorrorKhand,False,5,65,21900.0,9600.0,2500.0,False
HH1238,feral_block,6333,1.13,maharizztra,True,7,55,15000.0,5790.0,4100.0,False
HH1239,delulu_hub,9865,1.14,maharizztra,True,4,56,5700.0,2130.0,5800.0,False
HH1240,midtown_sadness,1928,1.84,Moodhya Pradesh,True,8,71,8900.0,4390.0,3600.0,False
HH1241,midtown_sadness,2017,1.45,Kerela.ai,False,2,22,10600.0,5250.0,600.0,False
HH1242,midtown_sadness,4334,4.22,Biharify,False,7,73,18200.0,9960.0,100.0,False
HH1243,rizz_rural,7088,0.92,Moodhya Pradesh,False,1,42,14900.0,6340.0,500.0,False
HH1244,delulu_hub,2126,3.3,Moodhya Pradesh,True,2,50,14800.0,4760.0,6600.0,False
HH1245,midtown_sadness,3844,1.26,Uttar Downbad,False,1,27,14500.0,5540.0,1600.0,False
HH1246,coastal_L,9193,4.03,Panic Nadu,False,4,58,14200.0,8430.0,1000.0,False
HH1247,midtown_sadness,109,4.35,Kerela.ai,False,1,22,19700.0,9430.0,2100.0,False
HH1248,midtown_sadness,360,2.36,Moodhya Pradesh,False,4,72,9400.0,4820.0,1100.0,False
HH1249,midtown_sadness,6138,4.02,Uttar Downbad,False,5,22,13500.0,4080.0,1700.0,False
HH1250,rizz_rural,9965,0.52,Biharify,True,6,48,7400.0,3370.0,10000.0,False
HH1251,rizz_rural,2319,3.78,JhorrorKhand,True,9,42,14300.0,4450.0,2800.0,False
HH1252,midtown_sadness,7141,1.41,karNAHtaka,True,5,74,21500.0,10120.0,10300.0,False
HH1253,rizz_rural,2160,4.13,karNAHtaka,True,5,37,18200.0,10490.0,6500.0,False
HH1254,delulu_hub,5387,0.5,Kerela.ai,False,3,65,3500.0,2070.0,1000.0,False
HH1255,feral_block,1719,2.72,Moodhya Pradesh,False,1,75,30700.0,14190.0,400.0,False
HH1256,midtown_sadness,8612,3.53,karNAHtaka,True,5,61,14400.0,6300.0,6200.0,False
HH1257,feral_block,1442,1.53,Panic Nadu,True,6,47,15500.0,9040.0,7000.0,False
HH1258,feral_block,2932,1.27,karNAHtaka,False,3,37,8000.0,4020.0,2200.0,False
HH1259,delulu_hub,2924,0.84,karNAHtaka,True,5,49,11000.0,3510.0,9900.0,False
HH1260,feral_block,2094,1.81,karNAHtaka,True,6,22,15300.0,6730.0,5300.0,False
HH1261,midtown_sadness,3590,2.74,maharizztra,True,3,57,15700.0,5840.0,8200.0,False
HH1262,delulu_hub,9410,0.96,Uttar Downbad,True,5,31,15600.0,6880.0,9500.0,False
HH1263,coastal_L,8084,2.01,Moodhya Pradesh,True,6,64,11300.0,4930.0,7300.0,False
HH1264,midtown_sadness,1704,0.54,Panic Nadu,True,2,38,5800.0,2750.0,5200.0,False
HH1265,no_scope_city,335,3.77,Moodhya Pradesh,True,3,44,6500.0,2650.0,5400.0,False
HH1266,feral_block,2008,1.01,maharizztra,False,3,28,20400.0,7130.0,1200.0,False
HH1267,no_scope_city,8667,1.63,Kerela.ai,True,3,65,19000.0,8570.0,8200.0,False
HH1268,rizz_rural,3630,0.57,Kerela.ai,False,1,74,12900.0,7080.0,1600.0,False
HH1269,rizz_rural,5356,2.23,Kerela.ai,True,4,28,21300.0,10630.0,0.0,False
HH1270,no_scope_city,2735,3.86,Biharify,True,4,65,11600.0,4660.0,3100.0,False
HH1271,no_scope_city,8262,2.07,karNAHtaka,False,4,36,19100.0,11090.0,1900.0,False
HH1272,midtown_sadness,9862,1.22,Biharify,True,4,55,16300.0,9350.0,600.0,False
HH1273,midtown_sadness,2660,3.51,Uttar Downbad,True,6,67,21400.0,7760.0,10600.0,False
HH1274,coastal_L,5515,3.66,Kerela.ai,True,3,66,6200.0,1930.0,10100.0,False
HH1275,coastal_L,3491,1.2,maharizztra,False,3,25,13100.0,6840.0,1600.0,False
HH1276,no_scope_city,6051,3.58,Panic Nadu,True,4,35,10300.0,5650.0,8800.0,False
HH1277,feral_block,5568,4.29,Moodhya Pradesh,True,6,35,6600.0,3900.0,8600.0,False
